Move Ya Hips (feat. Nicki Minaj & MadeinTYO),A$AP Ferg,"['rap', 'pop']",rap
Over Your Head,"Future, Lil Uzi Vert","['rap', 'pop']",rap
Blood On My Jeans,Juice WRLD,"['pop', 'rap']",rap
Singapur,"El Alfa, Chael Produciendo","['rap', 'pop']",rap
Tattoo,Rauw Alejandro,"['pop', 'rap']",pop
"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",Ty Dolla $ign,"['rap', 'pop', 'r&b']",rap
Stay High,Juice WRLD,"['pop', 'rap']",rap
Tell Me U Luv Me (with Trippie Redd),Juice WRLD,"['pop', 'rap']",rap
Bad Energy,Juice WRLD,"['pop', 'rap']",rap
Titanic,Juice WRLD,"['pop', 'rap']",rap
Hit My Line,Logic,"['rap', 'pop']",rap
Up Up And Away,Juice WRLD,"['pop', 'rap']",rap
Man Of The Year,Juice WRLD,"['pop', 'rap']",rap
Fighting Demons,Juice WRLD,"['pop', 'rap']",rap
Can't Die,Juice WRLD,"['pop', 'rap']",rap
Screw Juice,Juice WRLD,"['pop', 'rap']",rap
Past Life (with Selena Gomez),Trevor Daniel,"['r&b', 'rap', 'pop']",pop
I Want It,Juice WRLD,"['pop', 'rap']",rap
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus","['pop', 'rap']",rap
The Adventures of Moon Man & Slim Shady (with Eminem),Kid Cudi,"['rap', 'pop']",rap
Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow","['rap', 'r&b']",rap
Anxiety - Intro,Juice WRLD,"['pop', 'rap']",rap
Juice WRLD Speaks From Heaven - Outro,Juice WRLD,"['pop', 'rap']",rap
"The Man, The Myth, The Legend - Interlude",Juice WRLD,"['pop', 'rap']",rap
Wash Us In The Blood,"Kanye West, Travis Scott","['rap', 'pop']",rap
This City,Sam Fischer,"['pop', 'rock']",pop
Tommy Lee (feat. Post Malone),Tyla Yaweh,"['rap', 'pop']",rap
Prospect (ft. Lil Baby),iann dior,"['rap', 'pop']",rap
Thunder,Imagine Dragons,"['rock', 'pop']",pop
El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex","['pop', 'rap']",rap
BLACK PARADE,Beyoncé,"['pop', 'r&b']",r&b
Girls in the Hood,Megan Thee Stallion,"['rap', 'pop']",rap
Money In The Grave (Drake ft. Rick Ross),Drake,"['rap', 'pop']",rap
Girls Like You (feat. Cardi B),Maroon 5,"['rock', 'pop']",pop
VACATION,Tyga,"['rap', 'pop']",rap
Bleed,A Boogie Wit da Hoodie,"['rap', 'pop']",rap
Djomb - Bien ou quoi,Bosh,"['pop', 'rap']",rap
IDK You Yet,Alexander 23,"['pop', 'rock']",pop
Selfish,Madison Beer,"['pop', 'rock']",pop
Turks (with Gunna & ft. Travis Scott),NAV,"['rap', 'pop']",rap
Let Me Down Slowly,Alec Benjamin,"['pop', 'rock']",pop
BELIEVE IT,"PARTYNEXTDOOR, Rihanna","['rap', 'pop', 'r&b']",r&b
This Is America,Childish Gambino,"['rap', 'pop']",rap
Fantasias,"Rauw Alejandro, Farruko","['pop', 'rap']",rap
Solitaires (feat. Travis Scott),Future,"['rap', 'pop']",rap
In Your Eyes (with Doja Cat) - Remix,The Weeknd,"['r&b', 'pop']",pop
After Hours,The Weeknd,"['r&b', 'pop']",r&b
BUTTERFLY EFFECT,Travis Scott,"['rap', 'pop']",rap
Confía,"Sech, Daddy Yankee","['rap', 'pop']",rap
All Bad (feat. Lil Uzi Vert),Future,"['rap', 'pop']",rap
Pain 1993 (with Playboi Carti),Drake,"['rap', 'pop']",rap
Trillionaire (feat. Youngboy Never Broke Again),Future,"['rap', 'pop']",rap
Racks 2 Skinny,Migos,"['rap', 'pop']",rap
PTSD,"G Herbo, Juice WRLD, Lil Uzi Vert, Chance the Rapper","['rap', 'pop']",rap
Demons (feat. Fivio Foreign & Sosa Geek),Drake,"['rap', 'pop']",rap
Moral of the Story,Ashe,"['pop', 'rock']",pop
Can I,Kehlani,"['pop', 'r&b']",r&b
STARGAZING,Travis Scott,"['rap', 'pop']",rap
D4L,"Future, Drake, Young Thug","['rap', 'pop']",rap
Time Flies,Drake,"['rap', 'pop']",rap
Desires (with Future),Drake,"['rap', 'pop']",rap
Not You Too (feat. Chris Brown),Drake,"['rap', 'pop']",r&b
Landed,Drake,"['rap', 'pop']",rap
When To Say When,Drake,"['rap', 'pop']",rap
Deep Pockets,Drake,"['rap', 'pop']",rap
War,Drake,"['rap', 'pop']",rap
From Florida With Love,Drake,"['rap', 'pop']",rap
Losses,Drake,"['rap', 'pop']",rap
Turks (feat. Travis Scott),"NAV, Gunna","['rap', 'pop']",rap
What If I Told You That I Love You,Ali Gatie,"['rap', 'pop']",pop
God's Plan,Drake,"['rap', 'pop']",rap
Por Primera Vez,"Camilo, Evaluna Montaner","['rap', 'pop']",pop
Broke In A Minute,Tory Lanez,"['rap', 'pop', 'r&b']",rap
Fantasias - Remix,"Rauw Alejandro, Anuel AA, Natti Natasha, Farruko, Lunay","['pop', 'rap']",pop
SUGAR,BROCKHAMPTON,"['rap', 'pop']",rap
90-60-111,Shirin David,"['rap', 'pop']",rap
YOSEMITE,Travis Scott,"['rap', 'pop']",rap
If You’re Too Shy (Let Me Know) - Edit,The 1975,"['rock', 'pop']",rock
Tutu,"Camilo, Pedro Capó","['rap', 'pop']",pop
